id,name,group,group_title,status,functionality,use_when,ageint_topic,verbs,inputs,outputs,tags,harnesses,references_count,defensive_boundary,evidence_discipline,confidence_anchor,unsafe_redirect,safe_defensive_pattern,source_path
sat.getting_started_checklist,Getting Started Checklist,sat,Structured Analytic Techniques,implemented,"Frame an analytic task: question, drivers, assumptions, and prior judgments before diving in.",where do I start; frame this analytic task; getting started checklist,structured-analytic-techniques,ask; read; reason; write,analytic_task; background_material,getting_started_baseline,cognitive-security; sat; framing; analytical-discipline,claude; codex; hermes,3,"Use Getting Started Checklist only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Getting Started Checklist, tie every restated question, listed driver, and registered assumption to concrete evidence from the supplied analytic task or background material, and flag each item that rests on inference rather than confirmed fact so its confidence level is visible before any drafting begins.","High for Getting Started Checklist: the restated primary question, key drivers, and assumptions register each trace to the supplied tasking and background material, the consumer's actual decision need has been confirmed rather than inferred, the framing is internally consistent, and no unresolved contradiction would change the baseline that subsequent analysis depends on.","Unsafe: 'Use Getting Started Checklist outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Getting Started Checklist to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with analytic task, and background material' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/getting_started_checklist/SKILL.md
sat.customer_aims_checklist,Customer (AIMS) Checklist,sat,Structured Analytic Techniques,implemented,"Clarify Audience, Issue, Message, and Storyline so the product fits the decision it serves.",AIMS checklist; who is the audience; what is the key message,structured-analytic-techniques,ask; read; reason; write,product_or_outline; consumer_context,aims_worksheet; gap_and_misalignment_report,cognitive-security; sat; communication-clarity,claude; codex; hermes,3,"Use Customer (AIMS) Checklist only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Customer (AIMS) Checklist, ground each resolved Audience, Issue, Message, and Storyline value in evidence from the tasking directive, draft, or stated consumer context, label any inferred parameter with its basis, and raise targeted clarifying questions for parameters the available evidence cannot settle.","High for Customer (AIMS) Checklist: the Audience names a specific decision-making role, the Issue is narrow enough to answer in this product, the Message is a single actionable declarative assertion, the Storyline is derived from that Message and Audience, and no unresolved ambiguity in the tasking would change the worksheet.","Unsafe: 'Use Customer (AIMS) Checklist outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Customer (AIMS) Checklist to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with product or outline, and consumer context' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/customer_aims_checklist/SKILL.md
sat.issue_redefinition,Issue Redefinition,sat,Structured Analytic Techniques,implemented,Restate the question multiple ways to escape an unhelpful initial framing.,reframe this question; issue redefinition; am I asking the right question,structured-analytic-techniques,read; reason; write,original_question; tasking_context,restatements_register; preferred_framing,cognitive-security; sat; reframing; creative-thinking,claude; codex; hermes,4,"Use Issue Redefinition only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Issue Redefinition, anchor each restatement and the recommended framing in concrete evidence from the original question and its tasking context, documenting the specific assumption each lever exposes and recording the rejected framings; a preferred framing asserted without evidence that it better serves the decision is a preference, not a reasoned reframing.","High for Issue Redefinition: each restatement applies a genuinely distinct reframing lever rather than paraphrasing the original, the assumption removed or added by each is articulated explicitly, the recommended framing is justified against the consumer's actual decision need, and no unresolved tension among the alternatives would overturn that choice.","Unsafe: 'Use Issue Redefinition outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Issue Redefinition to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with original question, and tasking context' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/issue_redefinition/SKILL.md
sat.chronologies_and_timelines,Chronologies & Timelines,sat,Structured Analytic Techniques,implemented,"Order events temporally to expose gaps, correlations, and causal sequencing.",build a timeline; put these events in order; when did this happen relative to that,structured-analytic-techniques,read; reason; write,event_sources; analytic_question; parallel_streams,chronology; gap_and_anomaly_report; key_findings,cognitive-security; sat; temporal-analysis,claude; codex; hermes,3,"Use Chronologies & Timelines only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Chronologies & Timelines, anchor every entry and every gap-and-anomaly finding to the dated source evidence that supports it, record a confidence level per event, and explicitly note collection limitations so absence of evidence is never silently read as evidence of absence.","High for Chronologies & Timelines: each event carries an explicit date, actor, source, and confidence level, sourced facts are kept strictly separate from inferences, identified gaps and clustering are corroborated across independent streams, and no unresolved contradiction would change the timeline's bearing on the focal question.","Unsafe: 'Use Chronologies & Timelines outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Chronologies & Timelines to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with event sources, analytic question, and parallel streams' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/chronologies_and_timelines/SKILL.md
sat.sorting,Sorting,sat,Structured Analytic Techniques,implemented,Group large evidence sets by attributes to surface patterns and outliers.,sort this evidence; organize these indicators; group by attribute,structured-analytic-techniques,read; reason; write,evidence_set; sort_dimensions,sorted_table; outlier_flags,cognitive-security; sat; pattern-recognition,claude; codex; hermes,2,"Use Sorting only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Sorting, bind every cluster label and every outlier flag to concrete evidence from a specific item in the evidence set, citing the attribute value or source excerpt that places it in or outside a cluster, and record which dimension was primary so reviewers can re-sort and test whether the anomaly survives.","High for Sorting: the cluster labels and outlier flags are each grounded in evidence items whose attributes were inventoried before any sorting dimension was chosen, the same clusters and anomalies recur under independently selected primary and secondary axes, and no unresolved contradiction in the underlying data would change which items the technique flags as anomalous.","Unsafe: 'Use Sorting outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Sorting to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with evidence set, and sort dimensions' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/sorting/SKILL.md
sat.ranking_and_prioritization,Ranking & Prioritization,sat,Structured Analytic Techniques,implemented,"Order items by weighted criteria (ranked voting, paired comparison, weighted scoring).",rank these options; prioritize threats; weighted scoring,structured-analytic-techniques,ask; read; reason; write,item_list; criteria; decision_context,scoring_matrix; ranked_list; sensitivity_analysis,cognitive-security; sat; decision-support,claude; codex; hermes,2,"Use Ranking & Prioritization only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Ranking & Prioritization, tie each raw score, weight, and final placement to concrete evidence about the item list and decision context, disclose the criteria and weights that produced the order, and report the sensitivity sweep so that any ranking fragile to small weight changes is flagged as material rather than presented as a settled conclusion.","High for Ranking & Prioritization: the criteria and weights were fixed before scoring and reflect the decision context rather than a preferred outcome, each item's scores trace to a consistent pre-defined scale, the sensitivity sweep shows the top placements survive plausible weight shifts, and no unresolved contradiction between the ranking and subject-matter intuition is left uninvestigated.","Unsafe: 'Use Ranking & Prioritization outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Ranking & Prioritization to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with item list, criteria, and decision context' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/ranking_and_prioritization/SKILL.md
sat.analytic_matrices,Analytic Matrices,sat,Structured Analytic Techniques,implemented,Cross-tabulate variables to organize evidence and reveal relationships.,analytic matrix; cross-tab the evidence; organize variables in a grid,structured-analytic-techniques,read; reason; write,analytic_question; variables_or_hypotheses; evidence_or_criteria,analytic_matrix; pattern_summary,cognitive-security; sat; evidence-organization; structured-reasoning,claude; codex; hermes,4,"Use Analytic Matrices only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Analytic Matrices, anchor each cell rating and the pattern summary to a cited source excerpt or rationale, record blank cells as explicit collection gaps rather than silent omissions, and present the full grid as evidence so a reviewer can audit the reasoning instead of trusting a collapsed single answer.","High for Analytic Matrices: the row and column axes capture a genuinely independent, decidable relationship, every cell is rated against a scheme fixed before population, blank and conflicting cells are explicitly adjudicated, the dominant pattern is corroborated by multiple sources, and no unresolved contradiction would overturn the leading row.","Unsafe: 'Use Analytic Matrices outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Analytic Matrices to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with analytic question, variables or hypotheses, and evidence or criteria' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/analytic_matrices/SKILL.md
sat.network_analysis,Network Analysis,sat,Structured Analytic Techniques,implemented,Map actors and links; compute centrality and brokerage to find key nodes.,who are the key actors; map the network; find the brokers,structured-analytic-techniques,read; reason; write,node_list; edge_list; analytic_question,centrality_report; structural_findings; collection_gaps,cognitive-security; sat; network-analysis; influence-operations,claude; codex; hermes,5,"Use Network Analysis only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Network Analysis, bind every centrality ranking, broker claim, and cluster boundary to concrete evidence — a documented edge, its relationship type, and its recorded evidence quality drawn from the node and edge lists — and flag any node or link that rests only on low-confidence or single-source reporting as provisional rather than established.","High for Network Analysis: the betweenness-ranked centrality table, broker identification, and cluster partition are each corroborated by multiple independent edges whose evidence quality is documented, the rankings stay stable under removal of any weak-evidence link, the resilience and coordination-signature findings agree, and no unresolved contradiction would change the conclusion.","Unsafe: 'Use Network Analysis outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Network Analysis to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with node list, edge list, and analytic question' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/network_analysis/SKILL.md
sat.mind_maps_and_concept_maps,Mind Maps & Concept Maps,sat,Structured Analytic Techniques,implemented,Externalize a problem's concepts and relationships as a navigable graph.,draw out the relationships; map the concepts; visualize the problem structure,structured-analytic-techniques,read; reason; write,source_material; central_topic; map_type,concept_graph; gap_and_conflict_report,cognitive-security; sat; externalization; visualization,claude; codex; hermes,3,"Use Mind Maps & Concept Maps only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Mind Maps & Concept Maps, bind each node and each labeled edge to concrete evidence in the source material, preserving the raw language used for provenance, and mark any link that rests on inference rather than confirmed relationship; an edge asserted without supporting evidence is a hypothesis about structure, not a documented one.","High for Mind Maps & Concept Maps: every node and labeled directed link traces to named concepts and relationships in the source material, distinct concepts are kept on separate nodes rather than conflated, the gap-and-conflict audit has been run over the whole graph, and no unresolved contradiction in the link structure would change the represented understanding.","Unsafe: 'Use Mind Maps & Concept Maps outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Mind Maps & Concept Maps to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with source material, central topic, and map type' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/mind_maps_and_concept_maps/SKILL.md
sat.process_and_gantt_mapping,Process & Gantt Mapping,sat,Structured Analytic Techniques,implemented,"Lay out a process or adversary plan as sequenced, dependency-aware steps.",process mapping; Gantt chart for adversary plan; sequence the steps,structured-analytic-techniques,read; reason; write,activity_description; known_steps; time_constraints,process_map; gantt_table,cognitive-security; sat; timeline-analysis,claude; codex; hermes,3,"Use Process & Gantt Mapping only for structured analytic technique support: recognize, assess, document, or defend analytic rigor, alternative hypotheses, and calibrated judgment. Do not use this skill to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation.","For Process & Gantt Mapping, tie each step, dependency, duration estimate, and choke-point designation to concrete evidence from the activity description, the confirmed known steps, and the time constraints, and assign every step an observable indicator with its diagnostic value, marking any step the activity's logic demands but no reporting confirms as a labeled collection gap rather than a verified node.","High for Process & Gantt Mapping: the dependency-ordered decomposition reflects what the activity logically requires, the critical path and choke points are identified from real predecessor and resource relationships, every step carries at least one observable indicator with a rated diagnostic value, and no unresolved contradiction in the sequence would change the estimated lead time.","Unsafe: 'Use Process & Gantt Mapping outputs to force a preferred conclusion, hide uncertainty, or use the technique to rationalize manipulation' -> refuse and redirect to defensive risk assessment.","Safe defensive: 'Use Process & Gantt Mapping to apply the structured technique to supplied evidence while preserving alternatives and uncertainty with activity description, known steps, and time constraints' -> produce bounded findings with evidence and uncertainty labels.",skills/sat/process_and_gantt_mapping/SKILL.md
